classifier,condition,train_time_sec,accuracy,cm_00_word_as_word,cm_01_word_as_google,cm_02_word_as_python,cm_10_google_as_word,cm_11_google_as_google,cm_12_google_as_python,cm_20_python_as_word,cm_21_python_as_google,cm_22_python_as_python
SVM,original,3.5861,0.9721,80,0,0,5,74,0,0,0,20
SGD,original,4.2343,0.9944,80,0,0,1,78,0,0,0,20
RandomForest,original,0.9536,0.9888,80,0,0,2,77,0,0,0,20
XGBoost,original,36.0013,1.0,80,0,0,0,79,0,0,0,20
SVM,gaussian_noise,3.5861,0.9665,80,0,0,6,73,0,0,0,20
SGD,gaussian_noise,4.2343,0.9944,80,0,0,1,78,0,0,0,20
RandomForest,gaussian_noise,0.9536,0.9888,80,0,0,2,77,0,0,0,20
XGBoost,gaussian_noise,36.0013,0.9721,77,3,0,0,78,1,0,1,19
SVM,jpeg_compression,3.5861,0.9721,80,0,0,5,74,0,0,0,20
SGD,jpeg_compression,4.2343,0.9944,80,0,0,1,78,0,0,0,20
RandomForest,jpeg_compression,0.9536,0.9888,80,0,0,2,77,0,0,0,20
XGBoost,jpeg_compression,36.0013,0.9888,78,2,0,0,79,0,0,0,20
SVM,downsample_dpi,3.5861,0.5531,0,80,0,0,79,0,0,0,20
SGD,downsample_dpi,4.2343,0.9665,78,2,0,4,75,0,0,0,20
RandomForest,downsample_dpi,0.9536,0.8324,70,10,0,0,79,0,0,20,0
XGBoost,downsample_dpi,36.0013,0.7207,51,29,0,0,78,1,0,20,0
SVM,random_crop,3.5861,0.5531,0,80,0,0,79,0,0,0,20
SGD,random_crop,4.2343,0.5922,20,60,0,13,66,0,0,0,20
RandomForest,random_crop,0.9536,0.581,22,58,0,11,68,0,0,6,14
XGBoost,random_crop,36.0013,0.4749,36,42,2,36,38,5,0,9,11
SVM,reduce_bit_depth,3.5861,0.9665,80,0,0,6,73,0,0,0,20
SGD,reduce_bit_depth,4.2343,0.7709,80,0,0,1,38,40,0,0,20
RandomForest,reduce_bit_depth,0.9536,0.9888,80,0,0,2,77,0,0,0,20
XGBoost,reduce_bit_depth,36.0013,0.9832,78,2,0,0,78,1,0,0,20
