condition,classifier_a,classifier_b,p_value,significant_at_0.05
original,SVM,SGD,0.133614,False
original,SVM,RandomForest,0.248213,False
original,SVM,XGBoost,0.073638,False
original,SGD,RandomForest,1.0,False
original,SGD,XGBoost,1.0,False
original,RandomForest,XGBoost,0.4795,False
gaussian_noise,SVM,SGD,0.073638,False
gaussian_noise,SVM,RandomForest,0.133614,False
gaussian_noise,SVM,XGBoost,1.0,False
gaussian_noise,SGD,RandomForest,1.0,False
gaussian_noise,SGD,XGBoost,0.220671,False
gaussian_noise,RandomForest,XGBoost,0.449692,False
jpeg_compression,SVM,SGD,0.133614,False
jpeg_compression,SVM,RandomForest,0.248213,False
jpeg_compression,SVM,XGBoost,0.449692,False
jpeg_compression,SGD,RandomForest,1.0,False
jpeg_compression,SGD,XGBoost,1.0,False
jpeg_compression,RandomForest,XGBoost,0.617075,False
downsample_dpi,SVM,SGD,0.0,True
downsample_dpi,SVM,RandomForest,0.0,True
downsample_dpi,SVM,XGBoost,0.000632,True
downsample_dpi,SGD,RandomForest,8e-05,True
downsample_dpi,SGD,XGBoost,0.0,True
downsample_dpi,RandomForest,XGBoost,0.000523,True
random_crop,SVM,SGD,0.29627,False
random_crop,SVM,RandomForest,0.521839,False
random_crop,SVM,XGBoost,0.160967,False
random_crop,SGD,RandomForest,0.877371,False
random_crop,SGD,XGBoost,0.03006,True
random_crop,RandomForest,XGBoost,0.032663,True
reduce_bit_depth,SVM,SGD,0.0,True
reduce_bit_depth,SVM,RandomForest,0.133614,False
reduce_bit_depth,SVM,XGBoost,0.504985,False
reduce_bit_depth,SGD,RandomForest,0.0,True
reduce_bit_depth,SGD,XGBoost,0.0,True
reduce_bit_depth,RandomForest,XGBoost,1.0,False
